ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
أَثْرٌ (آثَارٌ),"stopa, pamětihodnost, památka",,[9],1,,,,,,,,,[24],,[20],false
آلَةٌ,stroj,,[9],2,,,,,,,,,[24],,[20],false
بَعِيدٌ (من بَعِيدٍ),vzdálený,,[1],3,,,,,,,,,,,[20],false
تَابُوتٌ (تَوَابِيتُ),rakev,,[9],4,,,,,,tābūtun tawābītu,,,[24],,[20],false
جِرَاحِيٌّ,chirurgický,,[1],5,,,,,,,,,,,[20],false
جَيِّداً,dobře,,[2],6,,,,,,,,,,,[20],false
حُجْرةٌ (حُجَرٌ),pokoj,,[9],7,,,,,,,,,[14],,[20],false
حَدِيقَةٌ (حَدَائِقُ),zahrada,,[9],8,,,,,,,,,"[14,41]",,[20],false
حَضَارَةٌ,"civilizace, kultura",,[9],9,,,,,,,,,[24],,[20],false
حَيْثَ,"kde (vztažná spojka); neboť, protože",,[8],10,,,,,,ḥajṯu,,,[48],,"[1,18,20]",false
حَيَوَانٌ (ات),"""zvíře, """"živočich""""""",,[9],11,,,,,,,,,[64],,[20],false
خَالِصٌ,ryzí,,[1],12,,,,,,,,,,,[20],false
خَشَبٌ,dřevo,,[9],13,,,,,,,,,"[37,64]",,[20],false
مُخْتَلِفٌ,"různý, rozličný, rozdílný",,[1],14,,,,,,,,,[35],,[20],false
رَئِيسِيُّ,hlavní,,[1],15,,,,,,,,,,,[20],false
رَجُلٌ (رِجَالٌ),muž,,[9],16,,,,,,,,,[33],,[20],false
صَخْرِيٌّ,skalnatý,,[1],17,,,,,,,,,"[37,48]",,"[1,20]",false
مَصْنُوعٌ,"vyrobený, zhotovený",,[1],18,,,,,,,,,,,[20],false
مَعْبَدٌ (مَعَابِدُ),chrám,,[9],19,,,,,,maʿbadun maʿābidu,,,"[9,24]",,[20],false
مِعْمَارٌ,architektura,,[9],20,,,,,,,,,"[7,9,24,78]",,[20],false
عَمَلٌ (أَعْمَالٌ),práce (na),,[9],21,,,,,على,,,,[60],,[20],false
مَقْبَرةٌ (مَقَابِرُ),hrobka,,[9],22,,,,,,,,,"[9,24]",,[20],false
قِمَّةٌ (قِمَمٌ),"vrcholek, špička",,[9],23,,,,,,,,,[48],,"[1,20]",false
كَذلِكَ,rovněž,,[2],24,,,,,,,,,,,[20],false
مَنْزِلٌ (مَنَازِلُ),"dům, domov",,[9],25,,,,,,,,,"[9,14]",,[20],false
وَاسِعٌ,"široký, rozlehlý, rozsáhlý",,[1],26,,,,,,,,"عَرِيضٌ، فَسِيحٌ (volný, velký)",,,[20],false
هَرَمٌ (أَهْرَامٌ),pyramida,,[9],27,,,,,,,,,"[9,24,48]",,"[1,20]",false
قَيِّمٌ,"cenný, hodnotný",,[1],28,,,,,,,,,,,[20],false
مَعْرُوفٌ,"proslulý, známý",,[1],29,,,,,,,,,[48],,"[1,20]",false
ضَيْفٌ (ضُيُوفٌ),host,,[9],30,,,,,,ḍajfun ḍujūfun,,,[33],,[20],false
فَتَاةٌ (فَتَيَاتٌ),mladé ženy,,[9],31,,,,,,,,,[33],,[20],false
وَلَدٌ (أَوْلاَدُ),mladý chlapec,,[9],32,,,,,,,,,[33],,[20],false
سُؤَالٌ (أَسئِلَةُ),otázka,,[9],33,,,,,,,,,[50],,[20],false
إِجَابَةٌ (ات),odpověď,,[9],34,,,,,,,,رَدٌّ (رُدُودٌ)، جَوَابٌ (أَجْوِبَةٌ),"[48,50]",,"[1,11,20]",false
سَهْلٌ,snadný,,[1],35,,,,,,,,,,,[20],false
صَحِيحٌ,"správný, správně",,[1],36,,,,,,ṣaḥīḥun,,,,,"[13,20]",false
مُشْكِلةٌ (مَشَاكِلُ),problém,,[9],37,,,,,,,,,[50],,[20],false
قَامُوسٌ (قَوَامِيسُ),"slovník; lexikon, registr",,[9],38,,,,,,qāmūsun (qawāmīsu),,,"[29,62,89]",,"[1,13,20]",false
صَحْفِيّ (ون),novinář,,[9],39,,,,,,,,,[60],,[20],false
مَكَانٌ (أَمَاكِنُ),místo,,[9],40,,,,,,makānun amākinu,,,[39],,[20],false
"تُرْكِيٌ (أَتْرَاكٌ, تُركٌ)","turek, Turecký",,[1],41,,,,,,,,,"[18,74]",,[20],false
صَدَرَ (ـُ) صُدُورٌ {1},"vyjít, být vydán (kniha)",,[7],42,[7],,,,,ṣadara jaṣduru,,,,,"[13,20]",false
حَجَزَ,"zarezervovat, zamluvit (něco)",,[7],43,[7],,,,هـ,,,,,,[20],false
مُفِيدٌ,"užitečný, prospěšný",,[1],44,,,,,,mufīdun,,,,,"[13,20]",false
إِرْهَابِيٌّ,"terorista, teroristický",,[1],45,,,,,,,,,[60],,[20],false
مُمتَازٌ,"výborný, vynikající",,[1],46,,,,,,,,,,,[20],false
شَرقِيٌ,"východní, orientální",,[1],47,,,,,,,,,,,[20],false
مُضِيفَةٌ,stewardka (hosteska),,[9],30,,,,,,muḍīfatun,,,"[48,60]",,"[1,20]",false
مُوَظَّفٌ,zaměstnaný,,[1],48,,,,,,,,,[48],,"[1,20]",false
الخُطُوطُ الجَوِيَةُ,aerolinie (letecké linky),,[5],49,,,,,,,,,"[48,50,73]",,"[1,20]",false
وَفْدٌ (وُفُودٌ),delegace,,[9],50,,,,,,wafd wufūd,,,"[46,48]",,"[1,20]",false
مَطْعَمٌ (مَطَاعِمُ),restaurace,,[9],51,,,,,,,,,"[9,41,46]",,[20],false
زِرَاعِيٌّ,zemědělský,,[1],52,,,,,,,,,,,[20],false
الخَارِجُ,"zahraničí, cizina",,[9],53,,,,,,,,,[39],,[20],false
خَبَرٌ (أَخْبَارٌ),zpráva,,[9],54,,,,,,,,,[61],,[20],false
عَامِلٌ (عَامِلُونَ),pracovník,,[9],21,,,,,,ʿāmilun (ʿāmilūna),,,"[33,48,60]",,"[1,20]",false
"قَلِيلٌ (قَلاَئِلُ , قِلاَلٌ)","malý, nepočetný",,[1],55,,,,,,,,,[48],,"[1,20]",false
لَيلٌ (لَيَالٍ),noc,,[9],56,,,,,,,,,[86],,[20],false
وَجَدَ (ـِ/يَجِدُ) وُجُودٌ,"najít něco, někoho, zjistit něco",,[7],57,[7],,,,"هـ, ه (عن)",waǧada (jaǧidu) wuǧūdun,,,"[6,67]",,[20],false
أَخَذَ,vzít něco,,[7],58,[7],,,,هـ,,,,"[6,67]",,[20],false
طَلَبَ (ـُ) طَلَبٌ/طَلَبَاتٌ,žádat (něco),,[7],59,[7],,,,هـ,,,,,,[20],false
قَرَأَ (ـَـ),číst něco,,[7],60,[7],,,,هـ,,,,[67],,[20],false
نَزَلَ,ubytovat se v,,[7],25,[7],,,,في,,,,[35],,[20],false
