origin,transcription,arabic
'-th-r,ʾṯr,ءثر
'-w-l,ʾwl,ءول
b-3-d,bʿd,بعد
t-b-t,tbt,تبت
dž-r-H,ǧrḥ,جرح
dž-j-d,ǧjd,جيد
H-dž-r,ḥǧr,حجر
H-d-q,ḥdq,حدق
H-D-r,ḥḍr,حضر
H-j-th,ḥjṯ,حيث
H-j-j,ḥjj,حيي
ch-l-S,ḫlṣ,خلص
ch-š-b,ḫšb,خشب
ch-l-f,ḫlf,خلف
r-'-s,rʾs,رءس
r-dž-l,rǧl,رجل
S-ch-r,ṣḫr,صخر
S-n-3,ṣnʿ,صنع
3-b-d,ʿbd,عبد
3-m-r,ʿmr,عمر
3-m-l,ʿml,عمل
q-b-r,qbr,قبر
q-m-m,qmm,قمم
ka,,
n-z-l,nzl,نزل
w-s-3,wsʿ,وسع
h-r-m,hrm,هرم
q-j-m,qjm,قيم
3-r-f,ʿrf,عرف
D-j-f,ḍjf,ضيف
f-t-j,ftj,فتي
w-l-d,wld,ولد
s-'-l,sʾl,سءل
dž-w-b,ǧwb,جوب
s-h-l,shl,سهل
S-H-H,ṣḥḥ,صحح
š-k-l,škl,شكل
q-m-s,qms,قمس
S-H-f,ṣḥf,صحف
m-k-n,mkn,مكن
türkçe,,
S-d-r,ṣdr,صدر
H-dž-z,ḥǧz,حجز
f-j-d,fjd,فيد
r-h-b,rhb,رهب
m-t-z,mtz,متز
š-r-q,šrq,شرق
w-Z-f,wẓf,وظف
ch-T-T,ḫṭṭ,خطط
w-f-d,wfd,وفد
T-3-m,ṭʿm,طعم
z-r-3,zrʿ,زرع
ch-r-dž,ḫrǧ,خرج
ch-b-r,ḫbr,خبر
q-l-l,qll,قلل
l-j-l,ljl,ليل
w-dž-d,wǧd,وجد
'-ch-dh,ʾḫḏ,ءخذ
T-l-b,ṭlb,طلب
q-r-',qrʾ,قرء
š-k-r,škr,شكر
w-D-3,wḍʿ,وضع
b-3-th,bʿṯ,بعث
r-k-b,rkb,ركب
'-k-l,ʾkl,ءكل
ch-T-b,ḫṭb,خطب
m-r-' / n-s-w,,
3-s-k-r,ʿskr,عسكر
ch-l-l,ḫll,خلل
dž-j-z,ǧjz,جيز
w-H-d,wḥd,وحد
m-n-H,mnḥ,منح
q-w-m,qwm,قوم
d-r-s,drs,درس
3-h-d,ʿhd,عهد
'-n,ʾn,ءن
n-s-b,nsb,نسب
H-w-l,ḥwl,حول
th-q-f,ṯqf,ثقف
n-T-q,nṭq,نطق
s-f-r,sfr,سفر
r-dž-3,rǧʿ,رجع
m-r-n,mrn,مرن
n-S-S,nṣṣ,نصص
gh-d-r,ġdr,غدر
ch-m-s,ḫms,خمس
IE,,
b-k-r,bkr,بكر
'-H-d,ʾḥd,ءحد
T-j-r,ṭjr,طير
f-S-H,fṣḥ,فصح
n-q-l,nql,نقل
t-l-w,tlw,تلو
b-s-T,bsṭ,بسط
,,
m-t-3,mtʿ,متع
3-l-m,ʿlm,علم
n-Z-m,nẓm,نظم
S-w-r,ṣwr,صور
3-m-m,ʿmm,عمم
S-3-b,ṣʿb,صعب
ch-S-S,ḫṣṣ,خصص
j-w-m,jwm,يوم
f-h-m,fhm,فهم
3-š-r,ʿšr,عشر
š-h-r,šhr,شهر
s-3-d,sʿd,سعد
z-w-r,zwr,زور
q-w-l,qwl,قول
q-D-j,qḍj,قضي
n-s-j,nsj,نسي
'-t-j,ʾtj,ءتي
3-w-d,ʿwd,عود
b-n-j,bnj,بني
d-3-w,dʿw,دعو
b-j-3,bjʿ,بيع
dž-j-',ǧjʾ,جيء
r-'-j,rʾj,رءي
l-q-j,lqj,لقي
b-d-',bdʾ,بدء
s-j-r,sjr,سير
ch-w-f,ḫwf,خوف
r-D-j,rḍj,رضي
n-w-m,nwm,نوم
t-r-k,trk,ترك
s-b-3,sbʿ,سبع
t-r-ch,trḫ,ترخ
b-gh-l,bġl,بغل
t-dž-r,tǧr,تجر
t-r-dž-m,trǧm,ترجم
t-m-r,tmr,تمر
dž-h-z,ǧhz,جهز
H-d-th,ḥdṯ,حدث
H-r-r,ḥrr,حرر
H-k-j,ḥkj,حكي
H-m-r,ḥmr,حمر
r-3-b,rʿb,رعب
r-gh-b,rġb,رغب
s-H-r,sḥr,سحر
s-r-3,srʿ,سرع
s-m-3,smʿ,سمع
s-j-H,sjḥ,سيح
s-j-f,sjf,سيف
š-d-d,šdd,شدد
š-3-r,šʿr,شعر
D-r-b,ḍrb,ضرب
Z-h-r,ẓhr,ظهر
3-dž-b,ʿǧb,عجب
f-dž-',fǧʾ,فجء
f-r-H,frḥ,فرح
q-b-l,qbl,قبل
q-d-m,qdm,قدم
q-dh-f,qḏf,قذف
q-S-S,qṣṣ,قصص
q-'-m,qʾm,قءم
k-f-j,kfj,كفي
l-H-Z,lḥẓ,لحظ
m-s-k,msk,مسك
m-n-dh,mnḏ,منذ
m-w-l,mwl,مول
n-dž-d,nǧd,نجد
n-d-b,ndb,ندب
n-h-D,nhḍ,نهض
n-w-3,nwʿ,نوع
n-w-j,nwj,نوي
h-d-j,hdj,هدي
h,,
w-S-l,wṣl,وصل
w-q-t,wqt,وقت
'-s-s,ʾss,ءسس
'-ch-r,ʾḫr,ءخر
'-m-n,ʾmn,ءمن
b-w-b,bwb,بوب
b-j-n,bjn,بين
th-n-j,ṯnj,ثني
dž-d-w-l,ǧdwl,جدول
dž-m-3,ǧmʿ,جمع
dž-w-l,ǧwl,جول
H-f-l,ḥfl,حفل
H-k-m,ḥkm,حكم
H-l-w,ḥlw,حلو
d-w-r,dwr,دور
dh-j-3,ḏjʿ,ذيع
z-m-n,zmn,زمن
s-'-r,sʾr,سءر
š-'-n,šʾn,شءن
š-b-b,šbb,شبب
š-r-b,šrb,شرب
š-r-H,šrḥ,شرح
s-H-f,sḥf,سحف
T-b-3,ṭbʿ,طبع
3-r-q,ʿrq,عرق
3-S-r,ʿṣr,عصر
3-l-j,ʿlj,علي
3-m-d,ʿmd,عمد
3-n-d,ʿnd,عند
f-t-H,ftḥ,فتح
f-t-r,ftr,فتر
f-r-dž,frǧ,فرج
f-r-S,frṣ,فرص
q-r-r,qrr,قرر
q-s-m,qsm,قسم
q-w-3,qwʿ,قوع
m-d-j,mdj,مدي
